     anio              lenguaje  toxicity  severe_toxicity   obscene  identity_attack    insult    threat
304  2015                Telugu  0.000652         0.000119  0.000172         0.000142  0.000174  0.000131
305  2015                 Welsh  0.000694         0.000119  0.000178         0.000144  0.000176  0.000135
306  2016               Catalan  0.000587         0.000127  0.000176         0.000146  0.000176  0.000136
307  2016               Chinese  0.000615         0.000124  0.000176         0.000144  0.000176  0.000134
308  2016                Danish  0.000653         0.000119  0.000180         0.000141  0.000176  0.000127
309  2016                 Dutch  0.000688         0.000119  0.000176         0.000144  0.000178  0.000131
310  2016               English  0.000633         0.000125  0.000182         0.000147  0.000179  0.000135
311  2016             Esperanto  0.000623         0.000123  0.000174         0.000146  0.000176  0.000135
312  2016               Finnish  0.000638         0.000123  0.000177         0.000145  0.000176  0.000134
313  2016                French  0.000602         0.000126  0.000175         0.000147  0.000177  0.000136
314  2016                German  0.000664         0.000120  0.000175         0.000145  0.000177  0.000132
315  2016                 Irish  0.000620         0.000123  0.000176         0.000145  0.000174  0.000132
316  2016               Italian  0.000624         0.000126  0.000177         0.000149  0.000177  0.000136
317  2016                 Latin  0.000627         0.000122  0.000173         0.000145  0.000176  0.000134
318  2016            Portuguese  0.000592         0.000126  0.000175         0.000147  0.000177  0.000136
319  2016               Spanish  0.000605         0.000125  0.000175         0.000146  0.000176  0.000135
320  2016               Swedish  0.000636         0.000122  0.000177         0.000144  0.000177  0.000132
321  2017               Chinese  0.000615         0.000124  0.000176         0.000144  0.000176  0.000135
322  2017                Danish  0.000590         0.000125  0.000179         0.000143  0.000177  0.000133
323  2017                 Dutch  0.000633         0.000122  0.000175         0.000145  0.000177  0.000132
324  2017               English  0.000619         0.000126  0.000180         0.000147  0.000178  0.000136
325  2017             Esperanto  0.000599         0.000125  0.000175         0.000146  0.000176  0.000137
326  2017               Finnish  0.000638         0.000122  0.000176         0.000145  0.000176  0.000134
327  2017                French  0.000601         0.000125  0.000175         0.000146  0.000177  0.000137
328  2017                German  0.000665         0.000120  0.000176         0.000145  0.000177  0.000132
329  2017             Hungarian  0.000618         0.000123  0.000176         0.000145  0.000176  0.000133
330  2017               Italian  0.000632         0.000122  0.000175         0.000145  0.000176  0.000132
